                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0345,                0.64792,                0.95313,                0.69968,                0.35734,                0.38984,                0.22811,                 1.7159,                 1.3979,                 1.4168,              0.0005939,              0.0005939,              0.0005939
                     71,                0.96265,                0.60351,                0.94588,                0.67609,                0.35321,                0.38319,                0.20878,                 1.8188,                  1.388,                 1.4695,             0.00059136,             0.00059136,             0.00059136
                     72,                0.97414,                0.62728,                0.95301,                0.64286,                 0.3358,                0.37542,                0.19105,                 1.8679,                   1.38,                 1.4837,             0.00058882,             0.00058882,             0.00058882
                     73,                0.94629,                 0.6114,                0.97084,                0.62898,                0.33732,                0.37652,                0.21834,                 1.7142,                 1.3774,                 1.3959,             0.00058629,             0.00058629,             0.00058629
                     74,                0.95992,                0.61717,                0.93168,                0.64528,                0.33827,                0.36838,                0.20876,                 1.7221,                 1.3034,                  1.402,             0.00058375,             0.00058375,             0.00058375
                     75,                0.96491,                0.61297,                0.94274,                0.66634,                0.33975,                0.37483,                0.21922,                 1.6896,                 1.2568,                 1.3899,             0.00058121,             0.00058121,             0.00058121
                     76,                 0.9547,                0.59923,                0.91978,                0.59874,                0.32663,                0.38783,                0.24172,                 1.6132,                 1.2378,                 1.3196,             0.00057867,             0.00057867,             0.00057867
                     77,                0.98924,                0.62559,                0.95836,                0.56064,                0.34596,                0.39204,                0.24517,                  1.606,                  1.203,                 1.3251,             0.00057613,             0.00057613,             0.00057613
                     78,                0.96752,                 0.6136,                0.95294,                0.54453,                0.34399,                 0.3877,                0.23618,                 1.6926,                 1.3353,                 1.4174,              0.0005736,              0.0005736,              0.0005736
                     79,                0.95891,                0.60131,                 0.9415,                0.57505,                0.35192,                0.39454,                0.24694,                 1.7022,                 1.3621,                 1.4398,             0.00057106,             0.00057106,             0.00057106
                     80,                0.96617,                0.60133,                0.93054,                0.63292,                0.36336,                0.42194,                0.25829,                 1.6757,                 1.2931,                  1.419,             0.00056852,             0.00056852,             0.00056852
                     81,                0.92385,                  0.588,                0.94729,                0.52295,                0.42692,                0.41738,                0.25366,                 1.7316,                 1.3039,                 1.4555,             0.00056598,             0.00056598,             0.00056598
                     82,                0.93916,                0.59145,                0.93156,                0.59229,                0.39599,                0.42076,                0.24945,                 1.7687,                 1.3165,                 1.4604,             0.00056345,             0.00056345,             0.00056345
                     83,                0.95806,                0.58157,                0.91951,                0.60989,                0.38042,                0.40894,                0.22753,                 1.8128,                 1.2937,                 1.4739,             0.00056091,             0.00056091,             0.00056091
                     84,                0.92033,                0.58367,                0.92081,                 0.6144,                0.39269,                0.41083,                0.23807,                  1.734,                 1.2917,                 1.4399,             0.00055837,             0.00055837,             0.00055837
                     85,                0.89717,                0.57684,                0.92406,                0.59304,                0.40577,                0.41703,                0.25079,                 1.6757,                 1.2332,                  1.402,             0.00055583,             0.00055583,             0.00055583
                     86,                0.92221,                0.56536,                0.92295,                 0.5105,                0.35136,                0.38852,                 0.2172,                 1.7449,                 1.2685,                 1.4139,              0.0005533,              0.0005533,              0.0005533
                     87,                0.90914,                0.57807,                0.92201,                0.65423,                0.31758,                0.40625,                0.22512,                 1.7167,                 1.2546,                 1.4025,             0.00055076,             0.00055076,             0.00055076
                     88,                 0.8749,                0.54165,                0.89411,                0.62564,                 0.3167,                 0.3925,                0.23811,                 1.6354,                 1.2783,                 1.3739,             0.00054822,             0.00054822,             0.00054822
                     89,                0.90299,                0.55635,                0.91468,                0.36657,                0.38945,                0.38964,                 0.2358,                 1.6276,                 1.2512,                 1.3727,             0.00054568,             0.00054568,             0.00054568
                     90,                0.85697,                0.53899,                0.90789,                0.36643,                0.36706,                0.37631,                0.23303,                 1.6698,                 1.2532,                 1.4239,             0.00054314,             0.00054314,             0.00054314
                     91,                0.89218,                0.55419,                0.91127,                0.42371,                0.39322,                0.38822,                0.23681,                 1.6156,                 1.2458,                 1.4004,             0.00054061,             0.00054061,             0.00054061
                     92,                0.85801,                0.53972,                0.91012,                0.46847,                0.39469,                0.40676,                0.24607,                 1.6639,                 1.2844,                 1.4044,             0.00053807,             0.00053807,             0.00053807
                     93,                0.85895,                0.54695,                0.91631,                0.46501,                0.35778,                0.39255,                0.23033,                 1.7826,                 1.3496,                  1.473,             0.00053553,             0.00053553,             0.00053553
                     94,                0.90312,                0.58225,                 0.9117,                0.54384,                0.37559,                0.40856,                0.24335,                 1.6377,                 1.2765,                 1.4068,             0.00053299,             0.00053299,             0.00053299
                     95,                0.89898,                 0.5596,                0.91711,                0.46467,                0.37441,                0.41377,                0.24942,                 1.6309,                 1.2761,                 1.4062,             0.00053046,             0.00053046,             0.00053046
                     96,                0.82486,                0.51654,                0.88776,                0.58391,                 0.3633,                 0.4023,                0.22696,                 1.6961,                 1.2847,                 1.4273,             0.00052792,             0.00052792,             0.00052792
                     97,                0.88215,                0.55067,                 0.9006,                0.63124,                0.34071,                0.40173,                 0.2099,                 1.7318,                 1.3202,                 1.4446,             0.00052538,             0.00052538,             0.00052538
